key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,,id
space,1.3267,space,0.393,space,0.1833,space,0.3814,space,0.015,space,1.7143,67,FF,88.80001277,43.19996979,1,0,0,response1disk_5,6,2.5122,17.60006053,-2.400006473,1,0,0,rectangle_8,17.60006053,-2.400006473,1,0,0,17.60006053,-2.400006473,1,0,0,0,0,0,3,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dominik
,,,,,,,,,,,,154,PF,34.40001196,-49.60000718,1,0,0,response3disk_5,4,1.146,-3.199988604,-6.44E-06,1,0,0,rectangle_8,-41.59998918,-88.00000775,1,0,0,5.600060356,11.99999374,1,0,0,0,1,1,4,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,response5disk_7,3,1.5208,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,PF,44.80001211,-59.20000732,1,0,0,response3disk_5,4,2.1944,5.600060356,-7.200006545,1,0,0,rectangle_8,5.600060356,-7.200006545,1,0,0,5.600060356,-7.200006545,1,0,0,0,2,2,2,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,48.80001217,59.19997003,1,0,0,response1disk_5,7,2.2155,16.00001168,0.799993575,1,0,0,rectangle_8,16.00001168,0.799993575,1,0,0,16.00001168,0.799993575,1,0,0,0,3,3,6,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,-59.19998944,-22.40000677,1,0,0,response5disk_5,2,0.9597,-26.39994012,-1.600006461,1,0,0,rectangle_8,-19.19998884,-61.60000736,1,0,0,-3.999988616,-10.40000659,1,0,0,0,4,4,0,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,response5disk_7,3,1.0139,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,FF,-51.19998932,-36.80000699,1,0,0,response5disk_5,2,2.3198,-23.99998891,-6.400006533,1,0,0,rectangle_8,-23.99998891,-6.400006533,1,0,0,-23.99998891,-6.400006533,1,0,0,0,5,5,5,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,22.40001178,-64.8000074,1,0,0,response3disk_5,4,3.5904,7.200011551,-15.20000666,1,0,0,rectangle_8,7.200011551,-15.20000666,1,0,0,7.200011551,-15.20000666,1,0,0,0,6,6,1,1,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7186,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,space,1.9317,1278,16.00001168,-63.20000738,1,0,0,response3disk,,4,12.80001163,-15.20000666,1,0,0,rectangle,12.80001163,-15.20000666,1,0,0,12.80001163,-15.20000666,1,0,0,0,0,0,32,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1462,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2727,-45.59998924,18.39999384,1,0,0,response7disk,,1,-25.59998894,10.39999372,1,0,0,rectangle,-25.59998894,10.39999372,1,0,0,-25.59998894,10.39999372,1,0,0,0,1,1,64,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4235,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,616,-33.59998906,21.59999388,1,0,0,response7disk,,1,-10.39993988,7.19999367,1,0,0,rectangle,-10.39993988,7.19999367,1,0,0,-10.39993988,7.19999367,1,0,0,0,2,2,85,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0628,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,152,-17.59998882,-47.20000714,1,0,0,response5disk,,3,-19.99998885,-5.600006521,1,0,0,rectangle,-19.99998885,-5.600006521,1,0,0,-19.99998885,-5.600006521,1,0,0,0,3,3,59,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8264,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,79,-48.79998928,74.39999467,1,0,0,response7disk,,0,-15.99998879,3.999993622,1,0,0,rectangle,-15.99998879,3.999993622,1,0,0,-15.99998879,3.999993622,1,0,0,0,4,4,98,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.299,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2534,-43.99998921,-21.60000676,1,0,0,response5disk,,2,-12.79998875,0.799993575,1,0,0,rectangle,-12.79998875,0.799993575,1,0,0,-12.79998875,0.799993575,1,0,0,0,5,5,10,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6596,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3697,30.4000119,-20.00000674,1,0,0,response3disk,,5,3.200011492,-4.800006509,1,0,0,rectangle,3.200011492,-4.800006509,1,0,0,3.200011492,-4.800006509,1,0,0,0,6,6,47,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3128,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,697,19.20001173,-32.80000693,1,0,0,response3disk,,4,5.600060356,-12.00000662,1,0,0,rectangle,5.600060356,-12.00000662,1,0,0,5.600060356,-12.00000662,1,0,0,0,7,7,136,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6118,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1285,23.20001179,-51.2000072,1,0,0,response3disk,,4,9.600060415,-14.40000665,1,0,0,rectangle,9.600060415,-14.40000665,1,0,0,9.600060415,-14.40000665,1,0,0,0,8,8,158,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7153,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,2438,59.20001233,20.79999387,1,0,0,response1disk,,6,4.800011516,4.799993634,1,0,0,rectangle,4.800011516,4.799993634,1,0,0,4.800011516,4.799993634,1,0,0,0,9,9,83,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5102,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3693,64.0000124,27.99999398,1,0,0,response1disk,,6,-15.99998879,-0.800006449,1,0,0,rectangle,-15.99998879,-0.800006449,1,0,0,-15.99998879,-0.800006449,1,0,0,0,10,10,108,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9825,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,165,-47.99998927,-20.00000674,1,0,0,response5disk,,2,-7.199988663,-1.600006461,1,0,0,rectangle,-7.199988663,-1.600006461,1,0,0,-7.199988663,-1.600006461,1,0,0,0,11,11,152,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.715,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3566,-43.1999892,-32.00000691,1,0,0,response5disk,,2,-18.39994,-13.60000664,1,0,0,rectangle,-18.39994,-13.60000664,1,0,0,-18.39994,-13.60000664,1,0,0,0,12,12,88,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8412,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,1197,20.00001174,-71.2000075,1,0,0,response3disk,,4,-16.79998881,-13.60000664,1,0,0,rectangle,-16.79998881,-13.60000664,1,0,0,-16.79998881,-13.60000664,1,0,0,0,13,13,74,1,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8231,,,,,,,,,,,,,,,,,,,,,,,1,2021-07-05_14h25.45.752,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,,,,,,,,,3981,-47.19998926,-56.00000727,1,0,0,response5disk,,3,-18.39994,4.799993634,1,0,0,rectangle,-18.39994,4.799993634,1,0,0,-18.39994,4.799993634,1,0,0,0,14,14,144,1,,,,,,,,,,
