key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4466,space,12.0324,space,13.5896,space,2.9351,space,1.5256,space,5.9983,22,FF,24.33339382,-83.66667989,1,0,0,response3disk_5,4,12.5493,1.66668579,1.999989331,1,0,0,rectangle_8,1.66668579,1.999989331,1,0,0,1.66668579,1.999989331,1,0,0,0,0,0,5,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,98.33335534,-28.66667825,1,0,0,response3disk_5,5,2.9524,-2.999981016,-8.666677654,1,0,0,rectangle_8,99.33335537,-41.66667864,1,0,0,1.66668579,-0.666677415,1,0,0,0,1,1,1,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response3disk_7,5,2.9359,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,39.66668692,102.3333053,1,0,0,response1disk_5,7,7.9167,-7.666607132,-2.333344132,1,0,0,rectangle_8,-7.666607132,-2.333344132,1,0,0,-7.666607132,-2.333344132,1,0,0,0,2,2,3,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,FF,-82.9999834,-24.00001144,1,0,0,response5disk_5,2,3.3173,9.333393375,7.333322823,1,0,0,rectangle_8,9.333393375,7.333322823,1,0,0,9.333393375,7.333322823,1,0,0,0,3,3,0,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,-61.33331609,45.33330361,1,0,0,response7disk_5,1,1.9163,-8.333314508,-1.333344102,1,0,0,rectangle_8,69.00002113,-29.66667828,1,0,0,-1.999980986,-2.000010788,1,0,0,0,4,4,6,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response3disk_7,5,1.8166,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,PF,-75.66660916,-89.33334672,1,0,0,response5disk_5,3,2.4997,-5.666607072,-2.666677475,1,0,0,rectangle_8,-5.666607072,-2.666677475,1,0,0,-5.666607072,-2.666677475,1,0,0,0,5,5,2,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,32.66668671,89.99999195,1,0,0,response1disk_5,7,2.8493,-14.33331469,-6.666677594,1,0,0,rectangle_8,-14.33331469,-6.666677594,1,0,0,-14.33331469,-6.666677594,1,0,0,0,6,6,4,1,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5491,,,,,,,,,,,,,,,,,,,,,,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,6.387,3342,-73.99998313,-52.00001228,1,0,0,response5disk,,2,1.66668579,-4.666677535,1,0,0,rectangle,1.66668579,-4.666677535,1,0,0,1.66668579,-4.666677535,1,0,0,0,0,0,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8688,,,,,,,,,,,,,,,,,,,,,,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,444,-59.66660868,39.99999046,1,0,0,response7disk,,1,-1.666606953,-3.000010818,1,0,0,rectangle,-1.666606953,-3.000010818,1,0,0,-1.666606953,-3.000010818,1,0,0,0,1,1,121,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6673,,,,,,,,,,,,,,,,,,,,,,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2463,89.66668841,32.33330322,1,0,0,response1disk,,6,-6.999981135,-2.000010788,1,0,0,rectangle,-97.33331716,52.66665751,1,0,0,0.66668576,3.99998939,1,0,0,0,2,2,14,1,,response7disk_3,TRUE,1,1,"[319,7,7,283,107,128,31,278,254,197,65,45,34,44,291,145,80,24,3,10]",1.9165,rectangle
,,,,,,,,,,,,,FF,,,,,,,,7.0858,,,,,,,,,,,,,,,,,,,,,,5d690f9a8d6d9d00010815cc,60e562c887f6dfa8c47df104,2021-07-07_11h16.32.053,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3147,-81.33331668,39.99999046,1,0,0,response7disk,,1,-8.333314508,-1.333344102,1,0,0,rectangle,-8.333314508,-1.333344102,1,0,0,-8.333314508,-1.333344102,1,0,0,0,3,3,127,1,,,,,,,,
