key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.938,space,4.001,space,25.364,space,6.757,space,1.027,space,2.944,119,FF,36,41,1,0,0,response1disk_5,7,15.672,6,-5,1,0,0,rectangle_8,6,-5,1,0,0,6,-5,1,0,0,0,0,0,3,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,23,-39,1,0,0,response3disk_5,4,6.815,1,-4,1,0,0,rectangle_8,39,92,1,0,0,11,-3,1,0,0,0,1,1,4,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,7,3.184,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,41,-77,1,0,0,response3disk_5,4,6.816,5,-10,1,0,0,rectangle_8,5,-10,1,0,0,5,-10,1,0,0,0,2,2,2,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,151,PF,86,-34,1,0,0,response3disk_5,5,2.409,18,-11,1,0,0,rectangle_8,18,-11,1,0,0,18,-11,1,0,0,0,3,3,1,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,-30,-67,1,0,0,response5disk_5,3,1.347,11,-2,1,0,0,rectangle_8,38,88,1,0,0,-4,-3,1,0,0,0,4,4,5,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,7,1.721,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,FF,-60,34,1,0,0,response7disk_5,1,2.524,21,2,1,0,0,rectangle_8,21,2,1,0,0,21,2,1,0,0,0,5,5,0,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,PF,35,-63,1,0,0,response3disk_5,4,3.307,0,-5,1,0,0,rectangle_8,0,-5,1,0,0,0,-5,1,0,0,0,6,6,6,1,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.478,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,2.097,155,26,-72,1,0,0,response3disk,,4,5,-4,1,0,0,rectangle,5,-4,1,0,0,5,-4,1,0,0,0,0,0,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.652,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3028,60,72,1,0,0,response1disk,,7,6,-5,1,0,0,rectangle,6,-5,1,0,0,6,-5,1,0,0,0,1,1,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.978,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1679,-19,-60,1,0,0,response5disk,,3,7,-2,1,0,0,rectangle,7,-2,1,0,0,7,-2,1,0,0,0,2,2,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.681,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3793,28,-56,1,0,0,response3disk,,4,5,8,1,0,0,rectangle,5,8,1,0,0,5,8,1,0,0,0,3,3,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.027,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2729,71,-43,1,0,0,response3disk,,5,22,-6,1,0,0,rectangle,-60,88,1,0,0,6,6,1,0,0,0,4,4,48,1,,response7disk_3,TRUE,0,0,"[266,267,217,131,154,5,123,93,103,134,70,107,287,258,166,207,86,297,212,61]",1.832,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.55,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3551,-39,88,1,0,0,response7disk,,0,8,4,1,0,0,rectangle,8,4,1,0,0,8,4,1,0,0,0,5,5,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.615,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1471,66,62,1,0,0,response1disk,,6,11,4,1,0,0,rectangle,11,4,1,0,0,11,4,1,0,0,0,6,6,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2077,51,-31,1,0,0,response3disk,,5,12,-6,1,0,0,rectangle,12,-6,1,0,0,12,-6,1,0,0,0,7,7,129,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.296,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4114,58,-37,1,0,0,response3disk,,5,21,-8,1,0,0,rectangle,21,-8,1,0,0,21,-8,1,0,0,0,8,8,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4201,-16,-78,1,0,0,response5disk,,3,-13,-5,1,0,0,rectangle,-13,-5,1,0,0,-13,-5,1,0,0,0,9,9,125,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.265,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,617,31,-76,1,0,0,response3disk,,4,2,0,1,0,0,rectangle,2,0,1,0,0,2,0,1,0,0,0,10,10,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.881,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2621,44,67,1,0,0,response1disk,,7,1,-5,1,0,0,rectangle,1,-5,1,0,0,1,-5,1,0,0,0,11,11,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.972,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3113,58,-58,1,0,0,response3disk,,5,16,-4,1,0,0,rectangle,16,-4,1,0,0,16,-4,1,0,0,0,12,12,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.385,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3309,82,21,1,0,0,response1disk,,6,12,3,1,0,0,rectangle,12,3,1,0,0,12,3,1,0,0,0,13,13,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.231,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4168,-23,-70,1,0,0,response5disk,,3,8,-1,1,0,0,rectangle,8,-1,1,0,0,8,-1,1,0,0,0,14,14,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.197,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,408,72,-46,1,0,0,response3disk,,5,17,-8,1,0,0,rectangle,17,-8,1,0,0,17,-8,1,0,0,0,15,15,121,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.166,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4041,26,-55,1,0,0,response3disk,,4,12,-7,1,0,0,rectangle,12,-7,1,0,0,12,-7,1,0,0,0,16,16,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.849,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3819,73,-42,1,0,0,response3disk,,5,23,-1,1,0,0,rectangle,23,-1,1,0,0,23,-1,1,0,0,0,17,17,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.197,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1537,76,22,1,0,0,response1disk,,6,23,-7,1,0,0,rectangle,23,-7,1,0,0,23,-7,1,0,0,0,18,18,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.402,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1055,32,48,1,0,0,response1disk,,7,1,4,1,0,0,rectangle,1,4,1,0,0,1,4,1,0,0,0,19,19,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.068,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1735,82,32,1,0,0,response1disk,,6,15,-5,1,0,0,rectangle,15,-5,1,0,0,15,-5,1,0,0,0,20,20,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.421,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1368,-35,55,1,0,0,response7disk,,0,17,-4,1,0,0,rectangle,17,-4,1,0,0,17,-4,1,0,0,0,21,21,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.618,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1232,-29,-52,1,0,0,response5disk,,3,13,-1,1,0,0,rectangle,13,-1,1,0,0,13,-1,1,0,0,0,22,22,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.115,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1013,78,-35,1,0,0,response3disk,,5,8,-1,1,0,0,rectangle,8,-1,1,0,0,8,-1,1,0,0,0,23,23,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.324,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3963,49,24,1,0,0,response1disk,,6,2,-11,1,0,0,rectangle,2,-11,1,0,0,2,-11,1,0,0,0,24,24,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.047,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4314,36,73,1,0,0,response1disk,,7,0,-7,1,0,0,rectangle,0,-7,1,0,0,0,-7,1,0,0,0,25,25,47,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.015,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4246,60,29,1,0,0,response1disk,,6,17,3,1,0,0,rectangle,17,3,1,0,0,17,3,1,0,0,0,26,26,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.261,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2563,82,21,1,0,0,response1disk,,6,12,-9,1,0,0,rectangle,12,-9,1,0,0,12,-9,1,0,0,0,27,27,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.996,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1431,55,-37,1,0,0,response3disk,,5,8,-7,1,0,0,rectangle,8,-7,1,0,0,8,-7,1,0,0,0,28,28,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.914,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,978,32,-63,1,0,0,response3disk,,4,-2,-12,1,0,0,rectangle,-2,-12,1,0,0,-2,-12,1,0,0,0,29,29,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.275,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2947,-28,-58,1,0,0,response5disk,,3,-2,5,1,0,0,rectangle,-2,5,1,0,0,-2,5,1,0,0,0,30,30,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.891,,,,,,,,,,,,,,,,,,,,,,5e8dd289f526a801dc3ce16d,60e56a32e776b6ca1e030277,2021-07-07_10h50.50.654,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1128,49,75,1,0,0,response1disk,,7,15,9,1,0,0,rectangle,15,9,1,0,0,15,9,1,0,0,0,31,31,60,1,,,,,,,,
