key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.9575,space,16.2799,space,40.4143,space,7.7972,space,4.3287,space,5.9164,54,FF,-20.8371582,-83.54656982,1,0,0,response5disk_5,3,2.9856,-11.331604,-9.781494141,1,0,0,rectangle_8,-11.331604,-9.781494141,1,0,0,-11.331604,-9.781494141,1,0,0,0,0,0,0,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,73.38677979,45.27697754,1,0,0,response1disk_5,6,1.9018,-0.574462891,3.834777832,1,0,0,rectangle_8,41.10772705,81.59475708,1,0,0,2.389221191,3.956054688,1,0,0,0,1,1,4,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,response1disk_7,7,2.6163,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,30.38848877,-65.47906494,1,0,0,response3disk_5,4,1.9676,11.6741333,-10.13995361,1,0,0,rectangle_8,11.6741333,-10.13995361,1,0,0,11.6741333,-10.13995361,1,0,0,0,2,2,6,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,FF,-61.66900635,-40.27520752,1,0,0,response5disk_5,2,1.434,-6.026245117,-5.093261719,1,0,0,rectangle_8,-6.026245117,-5.093261719,1,0,0,-6.026245117,-5.093261719,1,0,0,0,3,3,3,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,-69.03118896,-35.00665283,1,0,0,response5disk_5,2,0.8005,-16.53399658,-7.30456543,1,0,0,rectangle_8,46.14691162,82.27337646,1,0,0,5.142700195,-2.019470215,1,0,0,0,4,4,1,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,response1disk_7,7,1.9177,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,FF,70.1862793,-22.81219482,1,0,0,response3disk_5,5,1.1671,12.12597656,-9.229156494,1,0,0,rectangle_8,12.12597656,-9.229156494,1,0,0,12.12597656,-9.229156494,1,0,0,0,5,5,5,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,67.34094238,-29.54663086,1,0,0,response3disk_5,5,0.9341,17.37487793,-2.845825195,1,0,0,rectangle_8,17.37487793,-2.845825195,1,0,0,17.37487793,-2.845825195,1,0,0,0,6,6,2,1,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2338,,,,,,,,,,,,,,,,,,,,,,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,space,2.2347,2958,89.2555542,37.84796143,1,0,0,response1disk,,6,2.887695313,-2.316619873,1,0,0,rectangle,2.887695313,-2.316619873,1,0,0,2.887695313,-2.316619873,1,0,0,0,0,0,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0321,,,,,,,,,,,,,,,,,,,,,,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,3615,89.3067627,-35.76361084,1,0,0,response3disk,,5,-11.43017578,-2.43460083,1,0,0,rectangle,-11.43017578,-2.43460083,1,0,0,-11.43017578,-2.43460083,1,0,0,0,1,1,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5153,,,,,,,,,,,,,,,,,,,,,,5ea2ac2e9a49751cf0dee644,60e56421b732a63ea707a209,2021-07-07_10h23.34.512,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60e52e7cfedb1dae636df45f,,,,,,,,,3388,-58.54559326,43.89282227,1,0,0,response7disk,,1,-9.679992676,-5.10736084,1,0,0,rectangle,-9.679992676,-5.10736084,1,0,0,-9.679992676,-5.10736084,1,0,0,0,2,2,153,1,,,,,,,,
