key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.2641,space,18.8742,space,21.4619,space,10.5972,space,1.7438,space,4.037,155,PF,-93.86366421,-39.90907192,1,0,0,response5disk_5,2,5.9074,23.40905887,-3.090891421,1,0,0,rectangle_8,23.40905887,-3.090891421,1,0,0,23.40905887,-3.090891421,1,0,0,0,0,0,6,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-68.40911967,105.5454683,1,0,0,response7disk_5,0,1.3014,9.318150282,-6.727254927,1,0,0,rectangle_8,120.6817827,56.454561,1,0,0,-7.500086421,-1.272709668,1,0,0,0,1,1,3,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,4.6885,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,-51.1364485,-108.9999785,1,0,0,response5disk_5,3,1.585,-4.318268353,1.454562962,1,0,0,rectangle_8,-4.318268353,1.454562962,1,0,0,-4.318268353,1.454562962,1,0,0,0,2,2,4,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,FF,54.77269411,-108.9999785,1,0,0,response3disk_5,4,2.3359,-8.86366725,1.000017524,1,0,0,rectangle_8,-8.86366725,1.000017524,1,0,0,-8.86366725,1.000017524,1,0,0,0,3,3,5,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,115.2272374,-49.90907156,1,0,0,response3disk_5,5,3.8206,3.863549536,0.545472085,1,0,0,rectangle_8,121.5908735,46.00004366,1,0,0,8.409059405,1.000017524,1,0,0,0,4,4,2,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,2.0353,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,FF,46.13633078,-118.9999782,1,0,0,response3disk_5,4,2.085,-2.5000866,4.181835592,1,0,0,rectangle_8,-2.5000866,4.181835592,1,0,0,-2.5000866,4.181835592,1,0,0,0,5,5,0,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,-101.5909367,-58.09088945,1,0,0,response5disk_5,2,1.5183,14.3181501,-0.818164229,1,0,0,rectangle_8,14.3181501,-0.818164229,1,0,0,14.3181501,-0.818164229,1,0,0,0,6,6,1,1,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2515,,,,,,,,,,,,,,,,,,,,,,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,4.1109,1281,92.04542005,-43.99998087,1,0,0,response3disk,,5,-7.500086421,5.545471907,1,0,0,rectangle,-7.500086421,5.545471907,1,0,0,-7.500086421,5.545471907,1,0,0,0,0,0,55,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8354,,,,,,,,,,,,,,,,,,,,,,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2002,60.68178481,-108.5453776,1,0,0,response3disk,,4,-2.954576552,-4.454527736,1,0,0,rectangle,-2.954576552,-4.454527736,1,0,0,-2.954576552,-4.454527736,1,0,0,0,1,1,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2846,,,,,,,,,,,,,,,,,,,,,,5ea85f905036240a7979d0bd,60e561b69d574c6f31f82600,2021-07-07_10h12.09.112,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4160,111.1363285,64.63637888,1,0,0,response1disk,,6,-2.954576552,-2.636345983,1,0,0,rectangle,-2.954576552,-2.636345983,1,0,0,-2.954576552,-2.636345983,1,0,0,0,2,2,17,1,,,,,,,,
