key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.5445,space,12.739,space,81.503,space,20.96,space,4.405,space,4.7431,60,PF,92,-37,1,0,0,response3disk_5,5,28.8461,-7,-2,1,0,0,rectangle_8,-7,-2,1,0,0,-7,-2,1,0,0,0,0,0,1,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,FF,-83,-39,1,0,0,response5disk_5,2,2.0805,-16,-10,1,0,0,rectangle_8,70,34,1,0,0,-6,-2,1,0,0,0,1,1,0,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,3.5211,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,FF,97,-61,1,0,0,response3disk_5,5,5.3962,-9,0,1,0,0,rectangle_8,-9,0,1,0,0,-9,0,1,0,0,0,2,2,3,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,74,33,1,0,0,response1disk_5,6,3.5628,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,-3,3,1,0,0,0,3,3,2,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,45,-80,1,0,0,response3disk_5,4,10.5557,1,7,1,0,0,rectangle_8,86,45,1,0,0,-13,-3,1,0,0,0,4,4,6,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,2.3056,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,FF,-57,-23,1,0,0,response5disk_5,2,2.5001,-2,3,1,0,0,rectangle_8,-2,3,1,0,0,-2,3,1,0,0,0,5,5,5,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,-46,-59,1,0,0,response5disk_5,3,2.3097,-15,5,1,0,0,rectangle_8,-15,5,1,0,0,-15,5,1,0,0,0,6,6,4,1,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6186,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,53.6351,2827,-50,-62,1,0,0,response5disk,,3,0,11,1,0,0,rectangle,0,11,1,0,0,0,11,1,0,0,0,0,0,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9585,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1937,27,-60,1,0,0,response3disk,,4,-4,4,1,0,0,rectangle,-4,4,1,0,0,-4,4,1,0,0,0,1,1,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.482,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,315,98,-48,1,0,0,response3disk,,5,-3,0,1,0,0,rectangle,-3,0,1,0,0,-3,0,1,0,0,0,2,2,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8612,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3751,-44,-66,1,0,0,response5disk,,3,-13,-4,1,0,0,rectangle,-13,-4,1,0,0,-13,-4,1,0,0,0,3,3,103,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4407,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,26,84,-36,1,0,0,response3disk,,5,-10,-2,1,0,0,rectangle,-10,-2,1,0,0,-10,-2,1,0,0,0,4,4,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5834,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,237,-21,-67,1,0,0,response5disk,,3,-2,-8,1,0,0,rectangle,-2,-8,1,0,0,-2,-8,1,0,0,0,5,5,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9658,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,181,34,-56,1,0,0,response3disk,,4,-1,3,1,0,0,rectangle,-1,3,1,0,0,-1,3,1,0,0,0,6,6,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3931,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3763,36,-47,1,0,0,response3disk,,4,5,4,1,0,0,rectangle,5,4,1,0,0,5,4,1,0,0,0,7,7,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.507,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2177,-64,-22,1,0,0,response5disk,,2,5,2,1,0,0,rectangle,5,2,1,0,0,5,2,1,0,0,0,8,8,105,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0419,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1762,-51,-40,1,0,0,response5disk,,2,-15,-2,1,0,0,rectangle,-15,-2,1,0,0,-15,-2,1,0,0,0,9,9,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9793,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1498,41,83,1,0,0,response1disk,,7,-1,4,1,0,0,rectangle,-1,4,1,0,0,-1,4,1,0,0,0,10,10,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1391,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1864,93,42,1,0,0,response1disk,,6,-13,-4,1,0,0,rectangle,-13,-4,1,0,0,-13,-4,1,0,0,0,11,11,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2222,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,620,-44,65,1,0,0,response7disk,,0,-15,3,1,0,0,rectangle,-15,3,1,0,0,-15,3,1,0,0,0,12,12,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.16,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1404,52,26,1,0,0,response1disk,,6,-22,-5,1,0,0,rectangle,-22,-5,1,0,0,-22,-5,1,0,0,0,13,13,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2053,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4234,62,35,1,0,0,response1disk,,6,6,2,1,0,0,rectangle,6,2,1,0,0,6,2,1,0,0,0,14,14,132,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.153,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,491,21,83,1,0,0,response1disk,,7,-4,-4,1,0,0,rectangle,-4,-4,1,0,0,-4,-4,1,0,0,0,15,15,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7084,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1515,28,58,1,0,0,response1disk,,7,1,9,1,0,0,rectangle,1,9,1,0,0,1,9,1,0,0,0,16,16,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9968,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3120,69,46,1,0,0,response1disk,,6,2,-11,1,0,0,rectangle,2,-11,1,0,0,2,-11,1,0,0,0,17,17,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.889,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4345,-40,70,1,0,0,response7disk,,0,-14,-3,1,0,0,rectangle,-14,-3,1,0,0,-14,-3,1,0,0,0,18,18,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8613,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1868,58,31,1,0,0,response1disk,,6,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,-2,-1,1,0,0,0,19,19,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8472,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1407,32,65,1,0,0,response1disk,,7,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,-1,-1,1,0,0,0,20,20,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8854,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4087,-59,29,1,0,0,response7disk,,1,-6,5,1,0,0,rectangle,-6,5,1,0,0,-6,5,1,0,0,0,21,21,70,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7362,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1146,63,21,1,0,0,response1disk,,6,11,5,1,0,0,rectangle,11,5,1,0,0,11,5,1,0,0,0,22,22,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8305,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4212,34,63,1,0,0,response1disk,,7,-18,-7,1,0,0,rectangle,-18,-7,1,0,0,-18,-7,1,0,0,0,23,23,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2986,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2031,-32,79,1,0,0,response7disk,,0,-1,10,1,0,0,rectangle,-1,10,1,0,0,-1,10,1,0,0,0,24,24,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8474,,,,,,,,,,,,,,,,,,,,,,601cded3e354de6a40b60637,60e5625602e03dde9cdc163c,2021-07-07_18h16.31.043,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4199,47,28,1,0,0,response1disk,,6,-15,2,1,0,0,rectangle,-15,2,1,0,0,-15,2,1,0,0,0,25,25,145,1,,,,,,,,
