key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6887,space,6.0443,space,33.5387,space,4.8006,space,2.418,space,5.8381,89,PF,-43.99998921,82.39999479,1,0,0,response7disk_5,0,2.8042,-5.999988645,7.19999367,1,0,0,rectangle_8,-5.999988645,7.19999367,1,0,0,-5.999988645,7.19999367,1,0,0,0,0,0,4,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,PF,-37.99998912,67.19997015,1,0,0,response7disk_5,0,0.9067,-7.199988663,6.399993658,1,0,0,rectangle_8,-38.79998913,-99.60005675,1,0,0,17.2000117,-7.600006551,1,0,0,0,1,1,6,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,3,4.7191,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,FF,-58.79998943,27.19996955,1,0,0,response7disk_5,1,4.368,1.200011462,-4.800006509,1,0,0,rectangle_8,1.200011462,-4.800006509,1,0,0,1.200011462,-4.800006509,1,0,0,0,2,2,0,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,-25.99998894,69.19997018,1,0,0,response7disk_5,0,1.0336,-3.999988616,-2.800006479,1,0,0,rectangle_8,-3.999988616,-2.800006479,1,0,0,-3.999988616,-2.800006479,1,0,0,0,3,3,1,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,-73.19998965,31.19996961,1,0,0,response7disk_5,1,1.5832,-13.99998876,15.19999379,1,0,0,rectangle_8,-40.79998916,-87.60005657,1,0,0,4.000011504,-1.600006461,1,0,0,0,4,4,5,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,3,2.1672,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,FF,-30.79998901,58.39999443,1,0,0,response7disk_5,0,1.2503,15.20001167,-10.8000066,1,0,0,rectangle_8,15.20001167,-10.8000066,1,0,0,15.20001167,-10.8000066,1,0,0,0,5,5,3,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,44.80001211,86.39999485,1,0,0,response1disk_5,7,5.2178,25.20001182,14.39999378,1,0,0,rectangle_8,25.20001182,14.39999378,1,0,0,25.20001182,14.39999378,1,0,0,0,6,6,2,1,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7191,,,,,,,,,,,,,,,,,,,,,,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,3.2056,3967,-76.7999897,26.39999396,1,0,0,response7disk,,1,0.800011456,-10.40000659,1,0,0,rectangle,0.800011456,-10.40000659,1,0,0,0.800011456,-10.40000659,1,0,0,0,0,0,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4114,,,,,,,,,,,,,,,,,,,,,,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,282,-83.99998981,51.19996991,1,0,0,response7disk,,1,-11.19998872,7.599993676,1,0,0,rectangle,-11.19998872,7.599993676,1,0,0,-11.19998872,7.599993676,1,0,0,0,1,1,148,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7508,,,,,,,,,,,,,,,,,,,,,,605b29e2f13cbd20e9be8834,60e560d6be3c26a30d44d4c6,2021-07-07_10h17.03.405,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4047,-83.1999898,43.19996979,1,0,0,response7disk,,1,-17.99998882,0.399993569,1,0,0,rectangle,-17.99998882,0.399993569,1,0,0,-17.99998882,0.399993569,1,0,0,0,2,2,16,1,,,,,,,,
