key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.0578,space,17.488,space,37.5715,space,14.1437,space,6.4483,space,6.1918,46,FF,-39,108,1,0,0,response7disk_5,0,12.9684,-5,15,1,0,0,rectangle_8,-5,15,1,0,0,-5,15,1,0,0,0,0,0,3,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,-60,92,1,0,0,response7disk_5,0,2.871,-18,-7,1,0,0,rectangle_8,-37,-98,1,0,0,4,1,1,0,0,0,1,1,2,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,3,6.82,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,-86,27,1,0,0,response7disk_5,1,5.3521,-5,1,1,0,0,rectangle_8,-5,1,1,0,0,-5,1,1,0,0,0,2,2,5,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,PF,60,64,1,0,0,response1disk_5,7,3.3024,18,-5,1,0,0,rectangle_8,18,-5,1,0,0,18,-5,1,0,0,0,3,3,4,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,PF,-66,35,1,0,0,response7disk_5,1,1.5175,-8,-9,1,0,0,rectangle_8,-44,-82,1,0,0,15,6,1,0,0,0,4,4,6,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,3,2.3687,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,54,81,1,0,0,response1disk_5,7,2.72,-7,-11,1,0,0,rectangle_8,-7,-11,1,0,0,-7,-11,1,0,0,0,5,5,1,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,FF,48,76,1,0,0,response1disk_5,7,1.6176,6,14,1,0,0,rectangle_8,6,14,1,0,0,6,14,1,0,0,0,6,6,0,1,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2496,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,4.1162,1148,49,100,1,0,0,response1disk,,7,-29,13,1,0,0,rectangle,-29,13,1,0,0,-29,13,1,0,0,0,0,0,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9541,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2872,17,65,1,0,0,response1disk,,7,0,14,1,0,0,rectangle,0,14,1,0,0,0,14,1,0,0,0,1,1,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9821,,,,,,,,,,,,,,,,,,,,,,60d77cc4fae7e5ce3611a31c,60e5631f470138a233dcb483,2021-07-07_10h21.14.306,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2557,62,102,1,0,0,response1disk,,7,19,0,1,0,0,rectangle,19,0,1,0,0,19,0,1,0,0,0,2,2,35,1,,,,,,,,
