key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.2187,space,26.3399,space,33.6082,space,21.9291,space,30.3019,space,16.7936,110,FF,-52,-36,1,0,0,response5disk_5,2,6.6297,2,2,1,0,0,rectangle_8,2,2,1,0,0,2,2,1,0,0,0,0,0,0,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,29,91,1,0,0,response1disk_5,7,14.284,-5,9,1,0,0,rectangle_8,89,-46,1,0,0,-3,-2,1,0,0,0,1,1,2,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response3disk_7,5,6.3106,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,FF,39,89,1,0,0,response1disk_5,7,3.0067,7,-9,1,0,0,rectangle_8,7,-9,1,0,0,7,-9,1,0,0,0,2,2,5,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,35,84,1,0,0,response1disk_5,7,3.7522,-7,-4,1,0,0,rectangle_8,-7,-4,1,0,0,-7,-4,1,0,0,0,3,3,4,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,PF,43,94,1,0,0,response1disk_5,7,5.7838,3,9,1,0,0,rectangle_8,100,-47,1,0,0,18,4,1,0,0,0,4,4,6,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response3disk_7,5,3.7007,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,41,80,1,0,0,response1disk_5,7,10.0157,3,-12,1,0,0,rectangle_8,3,-12,1,0,0,3,-12,1,0,0,0,5,5,1,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,FF,33,95,1,0,0,response1disk_5,7,1.771,-1,2,1,0,0,rectangle_8,-1,2,1,0,0,-1,2,1,0,0,0,6,6,3,1,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.2253,,,,,,,,,,,,,,,,,,,,,,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,18.2473,4282,58,112,1,0,0,response1disk,,7,0,12,1,0,0,rectangle,0,12,1,0,0,0,12,1,0,0,0,0,0,111,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2846,,,,,,,,,,,,,,,,,,,,,,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3694,31,77,1,0,0,response1disk,,7,6,-5,1,0,0,rectangle,6,-5,1,0,0,6,-5,1,0,0,0,1,1,47,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,15.7378,,,,,,,,,,,,,,,,,,,,,,60de3d32aeb7f2a8b4bba07d,60e563a6486a4d6c555c3f23,2021-07-07_10h21.30.088,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,792,40,89,1,0,0,response1disk,,7,4,-8,1,0,0,rectangle,4,-8,1,0,0,4,-8,1,0,0,0,2,2,55,1,,,,,,,,
