key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,259.6182,space,6.8026,space,71.9321,space,4.5776,space,0.9661,space,3.2589,140,PF,-129,-69,1,0,0,response5disk_5,2,4.3336,-13,10,1,0,0,rectangle_8,-13,10,1,0,0,-13,10,1,0,0,0,0,0,1,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,FF,74,-114,1,0,0,response3disk_5,4,3.2335,-3,0,1,0,0,rectangle_8,120,61,1,0,0,-2,-1,1,0,0,0,1,1,5,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,2.8338,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,-78,-95,1,0,0,response5disk_5,3,2.1166,2,0,1,0,0,rectangle_8,2,0,1,0,0,2,0,1,0,0,0,2,2,0,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,109,69,1,0,0,response1disk_5,6,1.4171,10,8,1,0,0,rectangle_8,10,8,1,0,0,10,8,1,0,0,0,3,3,2,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,PF,-49,-117,1,0,0,response5disk_5,3,2.3334,-3,14,1,0,0,rectangle_8,118,71,1,0,0,-5,-4,1,0,0,0,4,4,6,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response1disk_7,6,1.9503,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,109,62,1,0,0,response1disk_5,6,1.3332,-5,5,1,0,0,rectangle_8,-5,5,1,0,0,-5,5,1,0,0,0,5,5,4,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-96,54,1,0,0,response7disk_5,1,1.3668,13,-4,1,0,0,rectangle_8,13,-4,1,0,0,13,-4,1,0,0,0,6,6,3,1,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2496,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,2.7152,79,-106,-57,1,0,0,response5disk,,2,2,-17,1,0,0,rectangle,129,52,1,0,0,response1disk_3,TRUE,6,6,"[78,220,32,192,1,31,140,144,202,285,107,39,291,226,52,210,0,102,120,224]",1.7343,-8,-4,1,0,0,rectangle,0,0,0,59,1,
,,,,,,,,,,,,,FF,,,,,,,,2.0833,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1746,-120,-78,1,0,0,response5disk,,2,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,,,,,,,-2,-4,1,0,0,,0,1,1,93,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2168,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1198,109,-66,1,0,0,response3disk,,5,-12,5,1,0,0,rectangle,-12,5,1,0,0,,,,,,,-12,5,1,0,0,,0,2,2,48,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4167,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1254,106,44,1,0,0,response1disk,,6,10,5,1,0,0,rectangle,10,5,1,0,0,,,,,,,10,5,1,0,0,,0,3,3,38,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7333,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,465,60,-122,1,0,0,response3disk,,4,-19,2,1,0,0,rectangle,-19,2,1,0,0,,,,,,,-19,2,1,0,0,,0,4,4,92,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4501,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1915,87,-59,1,0,0,response3disk,,5,3,-6,1,0,0,rectangle,3,-6,1,0,0,,,,,,,3,-6,1,0,0,,0,5,5,130,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9667,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3606,-54,-108,1,0,0,response5disk,,3,4,-3,1,0,0,rectangle,4,-3,1,0,0,,,,,,,4,-3,1,0,0,,0,6,6,14,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8501,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3527,63,-136,1,0,0,response3disk,,4,14,-5,1,0,0,rectangle,14,-5,1,0,0,,,,,,,14,-5,1,0,0,,0,7,7,94,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5835,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,201,-85,-129,1,0,0,response5disk,,3,5,-6,1,0,0,rectangle,5,-6,1,0,0,,,,,,,5,-6,1,0,0,,0,8,8,99,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8008,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,835,124,-44,1,0,0,response3disk,,5,10,-6,1,0,0,rectangle,10,-6,1,0,0,,,,,,,10,-6,1,0,0,,0,9,9,137,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4837,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1882,118,46,1,0,0,response1disk,,6,-9,-10,1,0,0,rectangle,-9,-10,1,0,0,,,,,,,-9,-10,1,0,0,,0,10,10,39,1,
,,,,,,,,,,,,,FF,,,,,,,,2.0335,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,715,-48,-129,1,0,0,response5disk,,3,6,-6,1,0,0,rectangle,6,-6,1,0,0,,,,,,,6,-6,1,0,0,,0,11,11,81,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9333,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2911,55,113,1,0,0,response1disk,,7,-15,-4,1,0,0,rectangle,-15,-4,1,0,0,,,,,,,-15,-4,1,0,0,,0,12,12,104,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7665,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2299,-145,-58,1,0,0,response5disk,,2,-22,-10,1,0,0,rectangle,-22,-10,1,0,0,,,,,,,-22,-10,1,0,0,,0,13,13,49,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9153,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,87,67,-107,1,0,0,response3disk,,4,-14,1,1,0,0,rectangle,-14,1,1,0,0,,,,,,,-14,1,1,0,0,,0,14,14,13,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8667,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1081,109,60,1,0,0,response1disk,,6,8,3,1,0,0,rectangle,8,3,1,0,0,,,,,,,8,3,1,0,0,,0,15,15,1,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3334,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4318,-60,-113,1,0,0,response5disk,,3,-1,1,1,0,0,rectangle,-1,1,1,0,0,,,,,,,-1,1,1,0,0,,0,16,16,10,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1001,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2293,-112,36,1,0,0,response7disk,,1,-12,2,1,0,0,rectangle,-12,2,1,0,0,,,,,,,-12,2,1,0,0,,0,17,17,5,1,
,,,,,,,,,,,,,FF,,,,,,,,0.9501,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3422,-110,-64,1,0,0,response5disk,,2,17,-4,1,0,0,rectangle,17,-4,1,0,0,,,,,,,17,-4,1,0,0,,0,18,18,60,1,
,,,,,,,,,,,,,FF,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1812,-51,-124,1,0,0,response5disk,,3,1,13,1,0,0,rectangle,1,13,1,0,0,,,,,,,1,13,1,0,0,,0,19,19,0,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5002,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3711,52,-116,1,0,0,response3disk,,4,6,-14,1,0,0,rectangle,6,-14,1,0,0,,,,,,,6,-14,1,0,0,,0,20,20,125,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1499,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1702,120,-66,1,0,0,response3disk,,5,-4,1,1,0,0,rectangle,-4,1,1,0,0,,,,,,,-4,1,1,0,0,,0,21,21,45,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7331,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3778,-112,-58,1,0,0,response5disk,,2,-30,3,1,0,0,rectangle,-30,3,1,0,0,,,,,,,-30,3,1,0,0,,0,22,22,88,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7165,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3045,-51,93,1,0,0,response7disk,,0,2,1,1,0,0,rectangle,2,1,1,0,0,,,,,,,2,1,1,0,0,,0,23,23,98,1,
,,,,,,,,,,,,,FF,,,,,,,,2.7997,,,,,,,,,,,,,,,,,,,,,,60e03b0a759b4850df25f739,60e57d40bffb5052504da600,2021-07-07_13h25.40.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4243,45,-111,1,0,0,response3disk,,4,-6,11,1,0,0,rectangle,-6,11,1,0,0,,,,,,,-6,11,1,0,0,,0,24,24,35,1,
