key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.9555,space,18.4094,space,14.2117,space,2.3249,space,1.1854,space,4.5314,9,PF,40,-42.5,1,0,0,response3disk_5,4,17.2793,7,1.5,1,0,0,rectangle_8,7,1.5,1,0,0,7,1.5,1,0,0,0,0,0,2,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,FF,32,-37.5,1,0,0,response3disk_5,4,1.0224,-21,-4.5,1,0,0,rectangle_8,-43,-32.5,1,0,0,-4,-4.5,1,0,0,0,1,1,3,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,2,2.584,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,-46,27.5,1,0,0,response7disk_5,1,2.8821,-7,3.5,1,0,0,rectangle_8,-7,3.5,1,0,0,-7,3.5,1,0,0,0,2,2,5,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,39,51.5,1,0,0,response1disk_5,7,2.8667,8,0.5,1,0,0,rectangle_8,8,0.5,1,0,0,8,0.5,1,0,0,0,3,3,1,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,26,40.5,1,0,0,response1disk_5,7,1.6656,5,7.5,1,0,0,rectangle_8,-33,-75.5,1,0,0,-20,3.5,1,0,0,0,4,4,4,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response5disk_7,3,4.0164,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,FF,48,-25.5,1,0,0,response3disk_5,5,2.5995,14,-2.5,1,0,0,rectangle_8,14,-2.5,1,0,0,14,-2.5,1,0,0,0,5,5,0,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-58,35.5,1,0,0,response7disk_5,1,1.6168,1,-1.5,1,0,0,rectangle_8,1,-1.5,1,0,0,1,-1.5,1,0,0,0,6,6,6,1,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8541,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,6.7385,2937,52,-46.5,1,0,0,response3disk,,5,-4,-4.5,1,0,0,rectangle,-4,-4.5,1,0,0,-4,-4.5,1,0,0,0,0,0,132,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,32.4569,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2741,81,-40.5,1,0,0,response3disk,,5,-5,-10.5,1,0,0,rectangle,-5,-10.5,1,0,0,-5,-10.5,1,0,0,0,1,1,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.234,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,774,-41,-56.5,1,0,0,response5disk,,3,-16,-0.5,1,0,0,rectangle,-16,-0.5,1,0,0,-16,-0.5,1,0,0,0,2,2,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3982,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2564,65,26.5,1,0,0,response1disk,,6,26,-9.5,1,0,0,rectangle,26,-9.5,1,0,0,26,-9.5,1,0,0,0,3,3,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3501,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3926,-39,-56.5,1,0,0,response5disk,,3,8,-9.5,1,0,0,rectangle,8,-9.5,1,0,0,8,-9.5,1,0,0,0,4,4,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8517,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1261,-44,-30.5,1,0,0,response5disk,,2,-7,-2.5,1,0,0,rectangle,-7,-2.5,1,0,0,-7,-2.5,1,0,0,0,5,5,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.699,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1119,50,-23.5,1,0,0,response3disk,,5,30,-8.5,1,0,0,rectangle,30,-8.5,1,0,0,30,-8.5,1,0,0,0,6,6,127,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8671,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1794,-25,-51.5,1,0,0,response5disk,,3,-3,-10.5,1,0,0,rectangle,-3,-10.5,1,0,0,-3,-10.5,1,0,0,0,7,7,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0169,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4270,52,-28.5,1,0,0,response3disk,,5,22,-3.5,1,0,0,rectangle,22,-3.5,1,0,0,22,-3.5,1,0,0,0,8,8,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9323,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3112,-58,-22.5,1,0,0,response5disk,,2,-8,2.5,1,0,0,rectangle,-8,2.5,1,0,0,-8,2.5,1,0,0,0,9,9,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9491,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,973,43,-63.5,1,0,0,response3disk,,4,16,-10.5,1,0,0,rectangle,16,-10.5,1,0,0,16,-10.5,1,0,0,0,10,10,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5501,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4110,-39,-56.5,1,0,0,response5disk,,3,-12,-13.5,1,0,0,rectangle,-12,-13.5,1,0,0,-12,-13.5,1,0,0,0,11,11,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6505,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3753,27,-73.5,1,0,0,response3disk,,4,5,-13.5,1,0,0,rectangle,5,-13.5,1,0,0,5,-13.5,1,0,0,0,12,12,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1152,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3895,-34,54.5,1,0,0,response7disk,,0,8,13.5,1,0,0,rectangle,8,13.5,1,0,0,8,13.5,1,0,0,0,13,13,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4841,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,970,27,84.5,1,0,0,response1disk,,7,14,9.5,1,0,0,rectangle,14,9.5,1,0,0,14,9.5,1,0,0,0,14,14,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2182,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3831,-39,-68.5,1,0,0,response5disk,,3,-18,-10.5,1,0,0,rectangle,-18,-10.5,1,0,0,-18,-10.5,1,0,0,0,15,15,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8678,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,917,41,-38.5,1,0,0,response3disk,,5,-2,-4.5,1,0,0,rectangle,-2,-4.5,1,0,0,-2,-4.5,1,0,0,0,16,16,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6507,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2805,55,-33.5,1,0,0,response3disk,,5,8,2.5,1,0,0,rectangle,8,2.5,1,0,0,8,2.5,1,0,0,0,17,17,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7338,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2380,-49,31.5,1,0,0,response7disk,,1,15,-3.5,1,0,0,rectangle,15,-3.5,1,0,0,15,-3.5,1,0,0,0,18,18,140,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8333,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2932,47,-69.5,1,0,0,response3disk,,4,3,0.5,1,0,0,rectangle,3,0.5,1,0,0,3,0.5,1,0,0,0,19,19,126,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0821,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2530,49,20.5,1,0,0,response1disk,,6,13,10.5,1,0,0,rectangle,13,10.5,1,0,0,13,10.5,1,0,0,0,20,20,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4823,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1230,-50,-29.5,1,0,0,response5disk,,2,16,-6.5,1,0,0,rectangle,16,-6.5,1,0,0,16,-6.5,1,0,0,0,21,21,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7824,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2881,67,-26.5,1,0,0,response3disk,,5,26,-2.5,1,0,0,rectangle,26,-2.5,1,0,0,26,-2.5,1,0,0,0,22,22,159,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8002,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3066,-75,29.5,1,0,0,response7disk,,1,-1,3.5,1,0,0,rectangle,-1,3.5,1,0,0,-1,3.5,1,0,0,0,23,23,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5998,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4346,-24,52.5,1,0,0,response7disk,,0,-2,3.5,1,0,0,rectangle,-62,33.5,1,0,0,16,0.5,1,0,0,0,24,24,40,1,,response7disk_3,TRUE,1,1,"[215,25,45,87,260,279,61,207,200,192,130,317,138,106,31,246,62,111,61,165]",2.6848,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.7844,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3350,56,-28.5,1,0,0,response3disk,,5,-11,-0.5,1,0,0,rectangle,-11,-0.5,1,0,0,-11,-0.5,1,0,0,0,25,25,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1494,,,,,,,,,,,,,,,,,,,,,,60e435add197abec7bebe435,60e565ada326ed4b6c94435e,2021-07-07_10h57.04.938,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2300,-30,71.5,1,0,0,response7disk,,0,-3,10.5,1,0,0,rectangle,-3,10.5,1,0,0,-3,10.5,1,0,0,0,26,26,30,1,,,,,,,,
