key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.70099,space,35.687725,space,24.573165,space,20.832915,space,11.605465,space,4.01937,42,PF,98.40001291,-67.20000744,1,0,0,response3disk_5,5,7.55596,-7.199988663,3.19999361,1,0,0,rectangle_8,-7.199988663,3.19999361,1,0,0,-7.199988663,3.19999361,1,0,0,0,0,0,2,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,PF,30.4000119,-87.20000774,1,0,0,response3disk_5,4,1.872805,-11.99998873,4.799993634,1,0,0,rectangle_8,-97.59999001,40.79999417,1,0,0,-12.79998875,-6.400006533,1,0,0,0,1,1,6,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response7disk_7,1,2.221405,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,-39.19998914,-83.20000768,1,0,0,response5disk_5,3,4.61633,-6.399939823,1.599993587,1,0,0,rectangle_8,-6.399939823,1.599993587,1,0,0,-6.399939823,1.599993587,1,0,0,0,2,2,1,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,FF,-45.59998924,-88.00000775,1,0,0,response5disk_5,3,2.628445,-6.399939823,-3.200006485,1,0,0,rectangle_8,-6.399939823,-3.200006485,1,0,0,-6.399939823,-3.200006485,1,0,0,0,3,3,3,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-38.3999403,99.99999505,1,0,0,response7disk_5,0,2.27055,4.800011516,-0.800006449,1,0,0,rectangle_8,-89.59998989,34.39999408,1,0,0,3.200011492,-1.600006461,1,0,0,0,4,4,5,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,response7disk_7,1,1.94678,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,-59.19998944,26.39999396,1,0,0,response7disk_5,1,1.655105,-4.799988627,-4.000006497,1,0,0,rectangle_8,-4.799988627,-4.000006497,1,0,0,-4.799988627,-4.000006497,1,0,0,0,5,5,4,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,FF,-34.39994024,-93.60005666,1,0,0,response5disk_5,3,1.21497,-7.199988663,1.599993587,1,0,0,rectangle_8,-7.199988663,1.599993587,1,0,0,-7.199988663,1.599993587,1,0,0,0,6,6,0,1,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.914315,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,space,5.350495,624,46.40001214,-83.20000768,1,0,0,response3disk,,4,-3.999988616,-3.200006485,1,0,0,rectangle,-3.999988616,-3.200006485,1,0,0,-3.999988616,-3.200006485,1,0,0,0,0,0,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.18131,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1786,-36.7999891,-92.00000781,1,0,0,response5disk,,3,-4.799988627,-3.200006485,1,0,0,rectangle,-4.799988627,-3.200006485,1,0,0,-4.799988627,-3.200006485,1,0,0,0,1,1,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.22752,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4214,-47.19998926,-92.80000782,1,0,0,response5disk,,3,-11.99998873,1.599993587,1,0,0,rectangle,-11.99998873,1.599993587,1,0,0,-11.99998873,1.599993587,1,0,0,0,2,2,23,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.15205,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3095,47.20001215,-85.60005654,1,0,0,response3disk,,4,-7.999988675,-6.400006533,1,0,0,rectangle,43.20001209,-97.60005672,1,0,0,-4.799988627,-0.800006449,1,0,0,0,3,3,46,1,,response3disk_3,TRUE,4,4,"[61,71,162,81,74,138,69,267,168,181,101,48,100,4,108,227,190,38,223,39]",3.17898,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.605335,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,3904,-91.99998993,-56.80000728,1,0,0,response5disk,,2,-12.79998875,-6.4373E-06,1,0,0,rectangle,-12.79998875,-6.4373E-06,1,0,0,-12.79998875,-6.4373E-06,1,0,0,0,4,4,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.288635,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4029,-91.99998993,-57.6000073,1,0,0,response5disk,,2,-15.99998879,-11.2000066,1,0,0,rectangle,-15.99998879,-11.2000066,1,0,0,-15.99998879,-11.2000066,1,0,0,0,5,5,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.45439,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,147,37.60006083,-88.00000775,1,0,0,response3disk,,4,-5.599988639,-4.000006497,1,0,0,rectangle,-5.599988639,-4.000006497,1,0,0,-5.599988639,-4.000006497,1,0,0,0,6,6,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.637455,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,468,-43.99998921,-84.00000769,1,0,0,response5disk,,3,-26.39994012,-5.600006521,1,0,0,rectangle,-26.39994012,-5.600006521,1,0,0,-26.39994012,-5.600006521,1,0,0,0,7,7,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.68854,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,4003,-60.79998946,-93.60005666,1,0,0,response5disk,,3,-13.59998876,-1.600006461,1,0,0,rectangle,-13.59998876,-1.600006461,1,0,0,-13.59998876,-1.600006461,1,0,0,0,8,8,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.022415,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,1885,-37.59998912,-91.2000078,1,0,0,response5disk,,3,-19.19998884,-6.4373E-06,1,0,0,rectangle,-19.19998884,-6.4373E-06,1,0,0,-19.19998884,-6.4373E-06,1,0,0,0,9,9,110,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.145995,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,450,-53.59998935,-96.00000787,1,0,0,response5disk,,3,-15.19998878,-0.800006449,1,0,0,rectangle,-15.19998878,-0.800006449,1,0,0,-15.19998878,-0.800006449,1,0,0,0,10,10,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,10.02349,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2391,66.40001243,-112.8000081,1,0,0,response3disk,,4,-15.99998879,8.799993694,1,0,0,rectangle,-15.99998879,8.799993694,1,0,0,-15.99998879,8.799993694,1,0,0,0,11,11,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.74651,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,158,-81.59998977,-50.40000719,1,0,0,response5disk,,2,12.80001163,10.39999372,1,0,0,rectangle,12.80001163,10.39999372,1,0,0,12.80001163,10.39999372,1,0,0,0,12,12,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0714,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2131,37.60006083,-91.2000078,1,0,0,response3disk,,4,-0.799988568,-9.60000658,1,0,0,rectangle,-0.799988568,-9.60000658,1,0,0,-0.799988568,-9.60000658,1,0,0,0,13,13,127,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.90458,,,,,,,,,,,,,,,,,,,,,,60e4c5c835abaf843a61d5c9,60e564e770530c586f59d3cd,2021-07-07_10h30.59.528,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60e52e7cfedb1dae636df45f,,,,,,,,,2916,-42.39994036,-94.40000784,1,0,0,response5disk,,3,2.40001148,-0.800006449,1,0,0,rectangle,2.40001148,-0.800006449,1,0,0,2.40001148,-0.800006449,1,0,0,0,14,14,87,1,,,,,,,,
