key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,2694.121745,space,51.6437,space,100.321055,space,16.521215,space,7.82132,space,4.97709,14,PF,106.400013,-36.20000592,1,0,0,response3disk_5,5,12.780275,-0.799988568,-5.80002988,1,0,0,rectangle_8,-0.799988568,-5.80002988,1,0,0,4,-0.799988568,-5.80002988,1,0,0,0,0,0,4,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,FF,68.00001246,-93.80000678,1,0,0,response3disk_5,4,4.715565,20.80001175,-4.200005442,1,0,0,rectangle_8,50.4000122,-93.80000678,1,0,0,4,15.20001167,0.59999463,1,0,0,0,1,1,0,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response3disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,76.80001259,-33.00000587,1,0,0,response3disk_5,5,4.732135,27.20001185,-2.600005418,1,0,0,rectangle_8,27.20001185,-2.600005418,1,0,0,4,27.20001185,-2.600005418,1,0,0,0,2,2,6,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,135,PF,-39.99998915,-106.6000558,1,0,0,response5disk_5,3,2.44908,9.600060415,2.999994665,1,0,0,rectangle_8,9.600060415,2.999994665,1,0,0,4,9.600060415,2.999994665,1,0,0,0,3,3,2,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,FF,83.20001268,-29.80003024,1,0,0,response3disk_5,5,2.782445,12.80001163,-4.200005442,1,0,0,rectangle_8,12.80001163,-4.200005442,1,0,0,4,12.80001163,-4.200005442,1,0,0,0,4,4,3,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,44.0000121,-87.40000668,1,0,0,response3disk_5,4,2.066075,12.00001162,-5.000005454,1,0,0,rectangle_8,41.60006089,-113.0000071,1,0,0,4,-1.59998858,0.59999463,1,0,0,0,5,5,5,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response3disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,54.40001225,-79.40000656,1,0,0,response3disk_5,4,4.765625,-7.999988675,11.7999948,1,0,0,rectangle_8,-7.999988675,11.7999948,1,0,0,4,-7.999988675,11.7999948,1,0,0,0,6,6,1,1,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.382735,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,space,29.264375,3408,90.40001279,38.19997078,1,0,0,response1disk,,6,1.14441E-05,2.999994665,1,0,0,rectangle,1.14441E-05,2.999994665,1,0,0,1,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",1.14441E-05,2.999994665,1,0,0,0,0,0,151,1,,,
,,,,,,,,,,,,,FF,,,,,,,,6.098375,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1672,84.80001271,-45.00000605,1,0,0,response3disk,,5,4.000011504,5.399994701,1,0,0,rectangle,4.000011504,5.399994701,1,0,0,1,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",4.000011504,5.399994701,1,0,0,0,1,1,1,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.715915,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,825,83.20001268,41.39999524,1,0,0,response1disk,,6,24.0000118,-9.800029939,1,0,0,rectangle,46.40001214,-83.40000662,1,0,0,4,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",12.00001162,-4.200005442,1,0,0,0,2,2,105,1,,response3disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.49966,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,372,87.20001274,-53.00000617,1,0,0,response3disk,,5,-6.399939823,2.199970239,1,0,0,rectangle,-6.399939823,2.199970239,1,0,0,2,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",-6.399939823,2.199970239,1,0,0,0,3,3,72,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216125,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2421,-71.99998963,-48.2000061,1,0,0,response5disk,,5,-18.39994,-5.000005454,1,0,0,rectangle,-18.39994,-5.000005454,1,0,0,0,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",-18.39994,-5.000005454,1,0,0,0,4,4,139,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216415,,,,,,,,,,,,,,,,,,,,,,,5c573e54e9813700018acc31,60a7d7fc0ede097370f253f0,2021-05-21_16h56.26.464,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,957,82.40001267,41.39999524,1,0,0,response1disk,,6,32.80001193,-1.000005394,1,0,0,rectangle,32.80001193,-1.000005394,1,0,0,1,"[171,58,186,212,67,243,316,3,74,211,260,187,58,107,106,156,183,199,248,153]",32.80001193,-1.000005394,1,0,0,0,5,5,40,1,,,
