key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,7.587,space,27.906,space,19.18,space,9.128,space,2.663,space,4.311,87,FF,-54,89,1,0,0,response7disk_5,0,4.475,15,5,1,0,0,rectangle_8,15,5,1,0,0,2,15,5,1,0,0,0,0,0,5,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,FF,48,87,1,0,0,response1disk_5,7,4.016,-11,9,1,0,0,rectangle_8,-92,-36,1,0,0,2,-2,2,1,0,0,0,1,1,3,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,42,71,1,0,0,response1disk_5,7,2.683,5,-6,1,0,0,rectangle_8,5,-6,1,0,0,2,5,-6,1,0,0,0,2,2,1,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,FF,30,-79,1,0,0,response3disk_5,4,2.167,5,-2,1,0,0,rectangle_8,5,-2,1,0,0,2,5,-2,1,0,0,0,3,3,0,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,62,44,1,0,0,response1disk_5,6,1.467,-1,2,1,0,0,rectangle_8,-89,-35,1,0,0,2,1,-1,1,0,0,0,4,4,4,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response5disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,70,-42,1,0,0,response3disk_5,5,2.633,7,2,1,0,0,rectangle_8,7,2,1,0,0,2,7,2,1,0,0,0,5,5,2,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,52,72,1,0,0,response1disk_5,7,1.751,4,7,1,0,0,rectangle_8,4,7,1,0,0,2,4,7,1,0,0,0,6,6,6,1,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.416,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,space,5.435,1583,103,-49,1,0,0,response3disk,,5,10,-1,1,0,0,rectangle,10,-1,1,0,0,1,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",10,-1,1,0,0,0,0,0,16,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.669,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,130,90,31,1,0,0,response1disk,,6,-1,6,1,0,0,rectangle,-1,6,1,0,0,6,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",-1,6,1,0,0,0,1,1,46,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.083,,,,,,,,,,,,,,,,,,,,,,,5c59866b2e4cc90001d08a07,60a6c71e03f262ee5091e9fa,2021-05-21_15h38.07.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4063,50,91,1,0,0,response1disk,,7,7,2,1,0,0,rectangle,7,2,1,0,0,5,"[121,26,162,24,247,263,232,309,24,226,216,228,66,267,304,72,135,209,47,212]",7,2,1,0,0,0,2,2,40,1,,,
