key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,1.343,space,17.002,space,46.068,space,12.496,space,4.483,space,3.496,53,PF,-55,-46,1,0,0,response5disk_5,,5.709,-3,-1,1,0,0,rectangle_8,50,79,1,0,0,response1disk_7,7,0,-5,1,0,0,rectangle_4,0,0,0,4,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,-85,48,1,0,0,response7disk_5,1,9.448,4,-4,1,0,0,rectangle_8,4,-4,1,0,0,,7,4,-4,1,0,0,,0,1,1,3,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,-45,-72,1,0,0,response5disk_5,3,14.899,1,4,1,0,0,rectangle_8,1,4,1,0,0,,7,1,4,1,0,0,,0,2,2,6,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,55,-80,1,0,0,response3disk_5,4,2.073,13,-2,1,0,0,rectangle_8,13,-2,1,0,0,,7,13,-2,1,0,0,,0,3,3,2,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,FF,64,47,1,0,0,response1disk_5,6,3.242,-2,0,1,0,0,rectangle_8,-2,0,1,0,0,,7,-2,0,1,0,0,,0,4,4,5,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,PF,78,38,1,0,0,response1disk_5,6,1.602,13,-1,1,0,0,rectangle_8,46,84,1,0,0,response1disk_7,7,3,3,1,0,0,rectangle_4,0,5,5,1,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,137,FF,-33,-94,1,0,0,response5disk_5,3,2.495,1,-3,1,0,0,rectangle_8,1,-3,1,0,0,,7,1,-3,1,0,0,,0,6,6,0,1,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.803,,,,,,,,,,,,,,,,,,,,,,,,,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,space,6.154,3286,74,41,1,0,0,response1disk,,6,16,3,1,0,0,rectangle,16,3,1,0,0,1,"[183,140,36,124,221,32,235,312,234,71,86,153,229,158,99,265,225,138,149,113]",16,3,1,0,0,0,0,0,68,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.421,,,,,,,,,,,,,,,,,,,,,,,,,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,1541,81,-45,1,0,0,response3disk,,5,6,-6,1,0,0,rectangle,6,-6,1,0,0,7,"[183,140,36,124,221,32,235,312,234,71,86,153,229,158,99,265,225,138,149,113]",6,-6,1,0,0,0,1,1,106,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.674,,,,,,,,,,,,,,,,,,,,,,,,,5c7ceda01d2afc0001f4ad1d,60a7d7fcb29dd492543b156f,2021-05-21_16h56.21.814,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,2881,34,68,1,0,0,response1disk,,7,1,8,1,0,0,rectangle,1,8,1,0,0,3,"[183,140,36,124,221,32,235,312,234,71,86,153,229,158,99,265,225,138,149,113]",1,8,1,0,0,0,2,2,121,1,,,
