key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.45191,space,15.66052,space,24.665455,space,9.41876,space,4.417495,space,3.20704,112,FF,-49,-117,1,0,0,response5disk_5,3,6.93177,-10,-1,1,0,0,rectangle_8,-10,-1,1,0,0,7,-10,-1,1,0,0,0,0,0,3,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,FF,-50,-95,1,0,0,response5disk_5,3,1.95427,-9,-3,1,0,0,rectangle_8,-9,-3,1,0,0,7,-9,-3,1,0,0,0,1,1,0,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,PF,100,-38,1,0,0,response3disk_5,5,4.358655,11,-5,1,0,0,rectangle_8,11,-5,1,0,0,7,11,-5,1,0,0,0,2,2,6,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,FF,-62,-92,1,0,0,response5disk_5,3,2.78993,-20,-3,1,0,0,rectangle_8,-20,-3,1,0,0,7,-20,-3,1,0,0,0,3,3,5,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,PF,101,-37,1,0,0,response3disk_5,5,2.067395,8,-8,1,0,0,rectangle_8,8,-8,1,0,0,7,8,-8,1,0,0,0,4,4,4,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,53,-86,1,0,0,response3disk_5,4,1.61656,10,-2,1,0,0,rectangle_8,10,-2,1,0,0,7,10,-2,1,0,0,0,5,5,2,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,34,-99,1,0,0,response3disk_5,4,3.95421,-5,-6,1,0,0,rectangle_8,-5,-6,1,0,0,7,-5,-6,1,0,0,0,6,6,1,1,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.64842,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,space,3.47854,2270,38,-95,1,0,0,response3disk,,4,-7,-12,1,0,0,rectangle,34,91,1,0,0,response1disk_3,7,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-2,-7,1,0,0,rectangle,0,0,0,86,1,
,,,,,,,,,,,,,FF,,,,,,,,3.33947,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1823,-101,-41,1,0,0,response5disk,,7,-3,-9,1,0,0,rectangle,-3,-9,1,0,0,,4,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-3,-9,1,0,0,,0,1,1,158,1,
,,,,,,,,,,,,,FF,,,,,,,,3.00619,,,,,,,,,,,,,,,,,,,,,,,5d1a69d8f97a18001977e0d7,60a7d7faac3d9818752b15e1,2021-05-21_16h56.09.996,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3856,-53,-81,1,0,0,response5disk,,3,-15,-7,1,0,0,rectangle,-15,-7,1,0,0,,3,"[58,191,278,100,65,29,322,125,86,271,136,1,92,20,169,101,278,233,68,29]",-15,-7,1,0,0,,0,2,2,84,1,
