key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,2.35038,space,2.33229,space,6.718945,space,4.78895,space,1.100245,space,1.650425,136,FF,163,54,1,0,0,response1disk_5,6,3.15186,-43,-5,1,0,0,rectangle_8,-43,-5,1,0,0,4,-43,-5,1,0,0,0,0,0,5,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-66,-193,1,0,0,response5disk_5,3,2.77123,-4,4,1,0,0,rectangle_8,62,-156,1,0,0,4,-7,0,1,0,0,0,1,1,4,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response3disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,PF,-132,74,1,0,0,response7disk_5,1,2.78656,5,9,1,0,0,rectangle_8,5,9,1,0,0,4,5,9,1,0,0,0,2,2,6,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,91,-168,1,0,0,response3disk_5,4,1.449485,2,15,1,0,0,rectangle_8,72,-170,1,0,0,4,-6,3,1,0,0,0,3,3,2,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response3disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,135,53,1,0,0,response1disk_5,6,2.293655,3,-13,1,0,0,rectangle_8,3,-13,1,0,0,4,3,-13,1,0,0,0,4,4,0,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,-86,-110,1,0,0,response5disk_5,3,2.66404,5,16,1,0,0,rectangle_8,5,16,1,0,0,4,5,16,1,0,0,0,5,5,1,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,FF,-146,40,1,0,0,response7disk_5,1,1.4013,-48,-22,1,0,0,rectangle_8,-48,-22,1,0,0,4,-48,-22,1,0,0,0,6,6,3,1,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.844485,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,space,1.984775,4144,-144,-72,1,0,0,response5disk,,1,-27,-6,1,0,0,rectangle,-27,-6,1,0,0,6,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",-27,-6,1,0,0,0,0,0,1,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.515245,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2765,74,-137,1,0,0,response3disk,,4,4,12,1,0,0,rectangle,4,12,1,0,0,6,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",4,12,1,0,0,0,1,1,160,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.056365,,,,,,,,,,,,,,,,,,,,,,,5ed77f0ef8efa803b4086a89,60a7d7fc4ee33faed7ff28cb,2021-05-21_16h56.05.967,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1750,-68,127,1,0,0,response7disk,,0,21,2,1,0,0,rectangle,21,2,1,0,0,3,"[237,321,218,34,81,157,256,219,163,148,120,202,144,77,38,217,254,165,68,223]",21,2,1,0,0,0,2,2,52,1,,,
