key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,1.516735,space,51.60818,space,70.203705,space,14.82889,space,9.588985,space,51.873595,5,FF,-46.39994042,-84.00000769,1,0,0,response5disk_5,3,6.44719,3.200011492,4.799993634,1,0,0,rectangle_8,45.60006095,98.39999503,1,0,0,response1disk_7,7,0.800011456,-5.600006521,1,0,0,rectangle_4,0,0,0,5,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,PF,114.4000131,-32.00000691,1,0,0,response3disk_5,5,11.07802,0.800011456,-2.400006473,1,0,0,rectangle_8,0.800011456,-2.400006473,1,0,0,,7,0.800011456,-2.400006473,1,0,0,,0,1,1,1,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,PF,100.0000129,32.79999405,1,0,0,response1disk_5,6,3.032595,-0.799988568,1.599993587,1,0,0,rectangle_8,-0.799988568,1.599993587,1,0,0,,7,-0.799988568,1.599993587,1,0,0,,0,2,2,2,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,PF,93.60001284,31.19996961,1,0,0,response1disk_5,6,1.166325,7.200011551,0.799993575,1,0,0,rectangle_8,7.200011551,0.799993575,1,0,0,,7,7.200011551,0.799993575,1,0,0,,0,3,3,4,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,FF,-103.1999901,-51.2000072,1,0,0,response5disk_5,6,3.39848,-2.399939764,2.399993598,1,0,0,rectangle_8,45.60006095,99.99999505,1,0,0,response1disk_7,7,1.14441E-05,-4.800006509,1,0,0,rectangle_4,0,4,4,3,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,112.0000131,27.99999398,1,0,0,response1disk_5,6,4.86464,-11.19998872,-4.000006497,1,0,0,rectangle_8,-11.19998872,-4.000006497,1,0,0,,7,-11.19998872,-4.000006497,1,0,0,,0,5,5,6,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,77.6000126,-40.00000703,1,0,0,response3disk_5,5,2.86555,1.14441E-05,-4.000006497,1,0,0,rectangle_8,1.14441E-05,-4.000006497,1,0,0,,7,1.14441E-05,-4.000006497,1,0,0,,0,6,6,0,1,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.548365,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,space,4.77229,1609,-71.99998963,103.1999707,1,0,0,response7disk,,0,-3.999988616,-2.400006473,1,0,0,rectangle,-3.999988616,-2.400006473,1,0,0,1,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-3.999988616,-2.400006473,1,0,0,0,0,0,126,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.917805,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,896,-40.79998916,-72.00000751,1,0,0,response5disk,,3,-0.799988568,-3.200006485,1,0,0,rectangle,-0.799988568,-3.200006485,1,0,0,3,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-0.799988568,-3.200006485,1,0,0,0,1,1,149,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.816085,,,,,,,,,,,,,,,,,,,,,,,,,5eff559f6fc177000b4cbfa6,60a7d7fa223a2bf3800940ac,2021-05-21_16h56.02.109,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2763,119.2000132,35.9999941,1,0,0,response1disk,,6,-3.999988616,5.599993646,1,0,0,rectangle,-3.999988616,5.599993646,1,0,0,4,"[285,210,33,37,131,164,183,167,320,309,103,170,251,101,100,76,224,130,185,123]",-3.999988616,5.599993646,1,0,0,0,2,2,71,1,,,
