key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,1.675705,space,12.09844,space,22.457125,space,11.785575,space,1.62693,space,4.07954,2,PF,129,-64,1,0,0,response3disk_5,5,8.892185,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,5,-2,-1,1,0,0,0,0,0,6,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,FF,100,71,1,0,0,response1disk_5,6,2.81925,-3,7,1,0,0,rectangle_8,-3,7,1,0,0,5,-3,7,1,0,0,0,1,1,3,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,FF,86,-54,1,0,0,response3disk_5,5,1.23539,15,3,1,0,0,rectangle_8,123,-77,1,0,0,5,-4,-11,1,0,0,0,2,2,5,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response3disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,-112,-73,1,0,0,response5disk_5,5,3.62002,-2,1,1,0,0,rectangle_8,-2,1,1,0,0,5,-2,1,1,0,0,0,3,3,1,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,PF,99,43,1,0,0,response1disk_5,6,2.402755,-1,10,1,0,0,rectangle_8,-1,10,1,0,0,5,-1,10,1,0,0,0,4,4,4,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,FF,97,-60,1,0,0,response3disk_5,5,1.734625,5,4,1,0,0,rectangle_8,5,4,1,0,0,5,5,4,1,0,0,0,5,5,0,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,PF,106,-50,1,0,0,response3disk_5,5,2.468695,2,0,1,0,0,rectangle_8,2,0,1,0,0,5,2,0,1,0,0,0,6,6,2,1,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.75166,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,space,2.6686,3441,-40,-127,1,0,0,response5disk,,3,-5,5,1,0,0,rectangle,-5,5,1,0,0,4,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-5,5,1,0,0,0,0,0,133,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.00127,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2776,-101,-34,1,0,0,response5disk,,3,-5,4,1,0,0,rectangle,-5,4,1,0,0,3,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",-5,4,1,0,0,0,1,1,30,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.584505,,,,,,,,,,,,,,,,,,,,,,,5f00d65cb69f9e20f144e404,60a7d7fc9a1f1edadd4bdff4,2021-05-21_16h57.03.891,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2188,89,-57,1,0,0,response3disk,,5,1,-21,1,0,0,rectangle,1,-21,1,0,0,1,"[187,203,155,201,96,150,274,97,307,184,144,25,297,275,87,155,301,227,44,78]",1,-21,1,0,0,0,2,2,115,1,,,
