key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,0.939425,space,15.67741,space,14.56618,space,7.81899,space,0.799795,space,3.066195,140,PF,65.33117676,-47.77233887,1,0,0,response3disk_5,5,9.67383,3.640686035,0.858154297,1,0,0,rectangle_8,-80.98553467,-32.75823975,1,0,0,response5disk_7,2,-7.77746582,-3.512573242,1,0,0,rectangle_4,0,0,0,4,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,FF,-83.38409424,-46.72967529,1,0,0,response5disk_5,5,5.08421,15.93847656,-3.72454834,1,0,0,rectangle_8,-93.01025391,-61.91229248,1,0,0,response5disk_7,2,5.066589355,-5.372772217,1,0,0,rectangle_4,0,1,1,3,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,62.45263672,29.8425293,1,0,0,response1disk_5,6,1.94875,5.486022949,-4.74609375,1,0,0,rectangle_8,5.486022949,-4.74609375,1,0,0,,2,5.486022949,-4.74609375,1,0,0,,0,2,2,0,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,-39.35974121,69.92974854,1,0,0,response7disk_5,0,3.785625,5.596801758,-3.832824707,1,0,0,rectangle_8,5.596801758,-3.832824707,1,0,0,,2,5.596801758,-3.832824707,1,0,0,,0,3,3,1,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,57.78106689,-45.93164063,1,0,0,response3disk_5,5,3.08138,16.11859131,-11.55325317,1,0,0,rectangle_8,16.11859131,-11.55325317,1,0,0,,2,16.11859131,-11.55325317,1,0,0,,0,4,4,5,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,111,PF,-69.99707031,39.20202637,1,0,0,response7disk_5,1,4.15202,-5.215332031,-6.587249756,1,0,0,rectangle_8,-5.215332031,-6.587249756,1,0,0,,2,-5.215332031,-6.587249756,1,0,0,,0,5,5,2,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,PF,-42.02099609,61.4888916,1,0,0,response7disk_5,0,1.41632,-14.28161621,-7.289489746,1,0,0,rectangle_8,-14.28161621,-7.289489746,1,0,0,,2,-14.28161621,-7.289489746,1,0,0,,0,6,6,6,1,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.62049,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,space,2.98135,3350,41.13098145,-74.1696167,1,0,0,response3disk,,4,-0.829833984,-8.739379883,1,0,0,rectangle,-0.829833984,-8.739379883,1,0,0,7,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",-0.829833984,-8.739379883,1,0,0,0,0,0,69,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5664,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,1246,-77.32489014,55.76565552,1,0,0,response7disk,,1,1.762084961,-0.673522949,1,0,0,rectangle,1.762084961,-0.673522949,1,0,0,4,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",1.762084961,-0.673522949,1,0,0,0,1,1,5,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.46678,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,3835,32.98168945,-51.71478271,1,0,0,response3disk,,4,-2.777832031,-1.952789307,1,0,0,rectangle,-2.777832031,-1.952789307,1,0,0,6,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",-2.777832031,-1.952789307,1,0,0,0,2,2,38,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.616815,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,4190,61.15576172,32.26428223,1,0,0,response1disk,,6,1.345458984,-0.492980957,1,0,0,rectangle,1.345458984,-0.492980957,1,0,0,7,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",1.345458984,-0.492980957,1,0,0,0,3,3,72,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.41705,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,2051,40.80126953,-71.76367188,1,0,0,response3disk,,4,1.427612305,-6.647033691,1,0,0,rectangle,1.427612305,-6.647033691,1,0,0,0,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",1.427612305,-6.647033691,1,0,0,0,4,4,61,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8987,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,3707,32.20404053,66.08197021,1,0,0,response1disk,,7,13.21728516,1.254211426,1,0,0,rectangle,13.21728516,1.254211426,1,0,0,6,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",13.21728516,1.254211426,1,0,0,0,5,5,109,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1673,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,3113,-32.02008057,-57.58959961,1,0,0,response5disk,,3,-11.72119141,-10.26489258,1,0,0,rectangle,-11.72119141,-10.26489258,1,0,0,3,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",-11.72119141,-10.26489258,1,0,0,0,6,6,132,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.95003,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,2551,-75.64129639,-38.29293823,1,0,0,response5disk,,3,10.37805176,2.073181152,1,0,0,rectangle,10.37805176,2.073181152,1,0,0,5,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",10.37805176,2.073181152,1,0,0,0,7,7,118,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.849985,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,1602,61.5279541,40.39318848,1,0,0,response1disk,,6,6.454162598,-2.853393555,1,0,0,rectangle,6.454162598,-2.853393555,1,0,0,4,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",6.454162598,-2.853393555,1,0,0,0,8,8,14,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.733685,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,3381,46.31884766,70.9921875,1,0,0,response1disk,,7,17.0133667,-1.464599609,1,0,0,rectangle,-97.49206543,35.56341553,1,0,0,1,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",-5.969055176,-7.879333496,1,0,0,0,9,9,114,1,,response7disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.41663,,,,,,,,,,,,,,,,,,,,,,,,,5f3663dd7dda2100096d4a81,60a7d7fa4e3ef8b5f5a00b00,2021-05-21_17h56.26.997,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,2803,-34.67663574,72.90270996,1,0,0,response7disk,,0,2.949645996,-8.047943115,1,0,0,rectangle,2.949645996,-8.047943115,1,0,0,5,"[178,301,10,40,129,266,47,195,60,64,161,165,136,43,323,279,190,79,287,108]",2.949645996,-8.047943115,1,0,0,0,10,10,7,1,,,
