key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,44.268715,space,23.6824,space,80.167575,space,38.323095,space,2.51463,space,7.77676,89,PF,111.2000131,46.1999709,1,0,0,response1disk_5,6,1.28397,-5.599988639,6.999994725,1,0,0,rectangle_8,-5.599988639,6.999994725,1,0,0,7,-5.599988639,6.999994725,1,0,0,0,0,0,6,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,FF,-83.99998981,-29.00000581,1,0,0,response5disk_5,6,1.499545,-19.19998884,8.599994749,1,0,0,rectangle_8,-19.19998884,8.599994749,1,0,0,7,-19.19998884,8.599994749,1,0,0,0,1,1,3,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,FF,-30.39994018,-72.20000646,1,0,0,response5disk_5,3,7.966675,-12.79998875,-1.80002982,1,0,0,rectangle_8,41.60006089,83.79999587,1,0,0,7,-11.99998873,-4.200005442,1,0,0,0,2,2,5,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,response1disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,-55.99998939,-85.00000665,1,0,0,response5disk_5,3,13.733345,4.800011516,-7.40000549,1,0,0,rectangle_8,4.800011516,-7.40000549,1,0,0,7,4.800011516,-7.40000549,1,0,0,0,3,3,4,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,-99.19999003,-29.00000581,1,0,0,response5disk_5,3,4.783455,-1.59998858,1.399994642,1,0,0,rectangle_8,-1.59998858,1.399994642,1,0,0,7,-1.59998858,1.399994642,1,0,0,0,4,4,1,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,PF,76.80001259,-37.80003036,1,0,0,response3disk_5,5,7.13286,12.00001162,3.799994677,1,0,0,rectangle_8,12.00001162,3.799994677,1,0,0,7,12.00001162,3.799994677,1,0,0,0,5,5,2,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,FF,88.80001277,42.99999526,1,0,0,response1disk_5,6,4.16644,6.400011539,0.59999463,1,0,0,rectangle_8,6.400011539,0.59999463,1,0,0,7,6.400011539,0.59999463,1,0,0,0,6,6,0,1,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.333705,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,space,5.206295,2886,59.20001233,118.9999964,1,0,0,response1disk,,7,-3.199988604,0.59999463,1,0,0,rectangle,-3.199988604,0.59999463,1,0,0,0,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",-3.199988604,0.59999463,1,0,0,0,0,0,21,1,,,
,,,,,,,,,,,,,FF,,,,,,,,5.0304,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,3134,80.80001265,36.59999517,1,0,0,response1disk,,6,12.00001162,-1.000005394,1,0,0,rectangle,12.00001162,-1.000005394,1,0,0,5,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",12.00001162,-1.000005394,1,0,0,0,1,1,101,1,,,
,,,,,,,,,,,,,FF,,,,,,,,3.15033,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2650,-39.99998915,-71.40000644,1,0,0,response5disk,,3,-5.599988639,1.399994642,1,0,0,rectangle,-5.599988639,1.399994642,1,0,0,7,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",-5.599988639,1.399994642,1,0,0,0,2,2,85,1,,,
,,,,,,,,,,,,,FF,,,,,,,,4.500155,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4211,106.400013,-34.60000589,1,0,0,response3disk,,5,1.14441E-05,-0.200005382,1,0,0,rectangle,1.14441E-05,-0.200005382,1,0,0,0,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",1.14441E-05,-0.200005382,1,0,0,0,3,3,26,1,,,
,,,,,,,,,,,,,FF,,,,,,,,3.783325,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,459,-43.1999892,-71.40000644,1,0,0,response5disk,,3,16.00001168,-4.200005442,1,0,0,rectangle,16.00001168,-4.200005442,1,0,0,5,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",16.00001168,-4.200005442,1,0,0,0,4,4,67,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.90074,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,849,40.00001204,88.59999594,1,0,0,response1disk,,7,9.600060415,-11.40000555,1,0,0,rectangle,9.600060415,-11.40000555,1,0,0,6,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",9.600060415,-11.40000555,1,0,0,0,5,5,153,1,,,
,,,,,,,,,,,,,FF,,,,,,,,9.966115,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1515,104.000013,26.99999502,1,0,0,response1disk,,6,-1.59998858,2.999994665,1,0,0,rectangle,65.60001242,-117.8000071,1,0,0,4,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",-23.1999889,-5.000005454,1,0,0,0,6,6,32,1,,response3disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,34.11655,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,2616,95.20001286,49.39999536,1,0,0,response1disk,,6,25.60006065,-1.80002982,1,0,0,rectangle,35.20001197,82.19997143,1,0,0,7,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",0.800011456,-0.200005382,1,0,0,0,7,7,145,1,,response1disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.6496,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,4185,-51.19998932,-85.80000666,1,0,0,response5disk,,3,-6.399939823,3.799994677,1,0,0,rectangle,80.80001265,46.1999709,1,0,0,6,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",5.600060356,1.399994642,1,0,0,0,8,8,157,1,,response1disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,5.06682,,,,,,,,,,,,,,,,,,,,,,,5fac647436421623d15dfcf5,60a7d7fb4e53a0a5eaf92c54,2021-05-21_17h56.08.002,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,1659,89.60001278,-56.20000622,1,0,0,response3disk,,5,17.60006053,-5.000005454,1,0,0,rectangle,17.60006053,-5.000005454,1,0,0,3,"[241,9,262,242,217,310,298,17,7,246,275,211,8,277,59,78,235,315,276,268]",17.60006053,-5.000005454,1,0,0,0,9,9,16,1,,,
