key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,1.57,space,23.315,space,219.159,space,9.735,space,5.217,space,8.183,44,FF,94,-29,1,0,0,response3disk_5,5,11.702,13,-1,1,0,0,rectangle_8,13,-1,1,0,0,7,13,-1,1,0,0,0,0,0,0,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,FF,-23,-86,1,0,0,response5disk_5,3,5.282,4,3,1,0,0,rectangle_8,4,3,1,0,0,7,4,3,1,0,0,0,1,1,3,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,54,-32,1,0,0,response3disk_5,5,2.833,6,-1,1,0,0,rectangle_8,6,-1,1,0,0,7,6,-1,1,0,0,0,2,2,2,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,49,-30,1,0,0,response3disk_5,5,0.966,1,-11,1,0,0,rectangle_8,1,-11,1,0,0,7,1,-11,1,0,0,0,3,3,4,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,FF,-78,-32,1,0,0,response5disk_5,5,2.134,-11,-2,1,0,0,rectangle_8,27,73,1,0,0,7,3,1,1,0,0,0,4,4,5,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,response1disk_7,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,-27,-71,1,0,0,response5disk_5,3,2.75,-8,-9,1,0,0,rectangle_8,-8,-9,1,0,0,7,-8,-9,1,0,0,0,5,5,6,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,45,-63,1,0,0,response3disk_5,4,3.299,7,-11,1,0,0,rectangle_8,7,-11,1,0,0,7,7,-11,1,0,0,0,6,6,1,1,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,space,97.436,4131,34,-73,1,0,0,response3disk,,4,5,-9,1,0,0,rectangle,5,-9,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",5,-9,1,0,0,0,0,0,77,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.004,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1783,55,-33,1,0,0,response3disk,,5,7,4,1,0,0,rectangle,7,4,1,0,0,0,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",7,4,1,0,0,0,1,1,68,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,3087,29,63,1,0,0,response1disk,,7,-15,-8,1,0,0,rectangle,36,91,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",14,3,1,0,0,0,2,2,136,1,,response1disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.899,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1185,-34,-73,1,0,0,response5disk,,3,-9,-5,1,0,0,rectangle,-9,-5,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-9,-5,1,0,0,0,3,3,41,1,,,
,,,,,,,,,,,,,FF,,,,,,,,3.684,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,4293,-52,68,1,0,0,response7disk,,0,-15,2,1,0,0,rectangle,-15,2,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-15,2,1,0,0,0,4,4,116,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.316,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,3329,-69,-29,1,0,0,response5disk,,0,-17,-13,1,0,0,rectangle,-73,31,1,0,0,1,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-28,10,1,0,0,0,5,5,10,1,,response7disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.066,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,3960,83,21,1,0,0,response1disk,,6,-32,-2,1,0,0,rectangle,-32,-2,1,0,0,4,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-32,-2,1,0,0,0,6,6,50,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1,-35,-82,1,0,0,response5disk,,3,-17,-5,1,0,0,rectangle,-17,-5,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-17,-5,1,0,0,0,7,7,135,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,3725,75,-34,1,0,0,response3disk,,5,2,-10,1,0,0,rectangle,2,-10,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",2,-10,1,0,0,0,8,8,89,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.199,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,837,49,-24,1,0,0,response3disk,,5,13,-7,1,0,0,rectangle,13,-7,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",13,-7,1,0,0,0,9,9,114,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.151,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2650,21,-70,1,0,0,response3disk,,4,4,-11,1,0,0,rectangle,4,-11,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",4,-11,1,0,0,0,10,10,145,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.166,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1683,28,-55,1,0,0,response3disk,,4,14,-9,1,0,0,rectangle,14,-9,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",14,-9,1,0,0,0,11,11,95,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.052,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2328,50,-29,1,0,0,response3disk,,5,20,-13,1,0,0,rectangle,20,-13,1,0,0,4,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",20,-13,1,0,0,0,12,12,105,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2481,-22,-70,1,0,0,response5disk,,3,-12,-16,1,0,0,rectangle,-12,-16,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-12,-16,1,0,0,0,13,13,4,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2364,-31,-55,1,0,0,response5disk,,3,-7,-8,1,0,0,rectangle,-7,-8,1,0,0,7,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-7,-8,1,0,0,0,14,14,129,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.066,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,2749,34,-49,1,0,0,response3disk,,4,3,-12,1,0,0,rectangle,3,-12,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",3,-12,1,0,0,0,15,15,104,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.851,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,1762,-27,-65,1,0,0,response5disk,,3,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,2,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",-1,-1,1,0,0,0,16,16,97,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,604b169fe4b7991ec08da3a6,60a7d7fabf9a9a712d038866,2021-05-21_17h56.59.075,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,60a5f9bf14d0aa2821c4bb84,,,,,149,27,-54,1,0,0,response3disk,,4,12,11,1,0,0,rectangle,12,11,1,0,0,3,"[236,246,209,297,74,106,288,255,105,195,113,295,6,315,220,3,287,223,132,38]",12,11,1,0,0,0,17,17,126,1,,,
