key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,2.99682,space,14.08238,space,24.877385,space,10.774595,space,1.836565,space,4.57385,39,FF,-42.66660817,85.3333048,1,0,0,response7disk_5,0,8.381655,-10.66660722,-2.000010788,1,0,0,rectangle_8,78.0000214,109.3333259,1,0,0,response1disk_7,7,1.333393137,3.99998939,1,0,0,rectangle_4,0,0,0,5,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,FF,98.00002199,-34.66667843,1,0,0,response3disk_5,5,4.750195,-14.66660734,-2.000010788,1,0,0,rectangle_8,-14.66660734,-2.000010788,1,0,0,,7,-14.66660734,-2.000010788,1,0,0,,0,1,1,0,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,-51.99998248,-68.66667944,1,0,0,response5disk_5,3,3.14555,7.333393315,6.666656137,1,0,0,rectangle_8,7.333393315,6.666656137,1,0,0,,7,7.333393315,6.666656137,1,0,0,,0,2,2,4,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,-48.66660835,-60.6666792,1,0,0,response5disk_5,3,2.516395,-11.3333146,0.666655958,1,0,0,rectangle_8,-11.3333146,0.666655958,1,0,0,,7,-11.3333146,0.666655958,1,0,0,,0,3,3,3,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,PF,52.00002062,-84.00001323,1,0,0,response3disk_5,4,5.50122,3.333393196,11.99998963,1,0,0,rectangle_8,40.00002027,-85.33334661,1,0,0,response3disk_7,7,-3.333314359,-4.000010848,1,0,0,rectangle_4,0,4,4,2,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,-45.33331561,-71.33334619,1,0,0,response5disk_5,3,1.687745,17.33339361,11.33332294,1,0,0,rectangle_8,17.33339361,11.33332294,1,0,0,,7,17.33339361,11.33332294,1,0,0,,0,5,5,1,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,PF,66.00002104,-91.33334678,1,0,0,response3disk_5,4,2.687045,-8.666607161,1.333322644,1,0,0,rectangle_8,-8.666607161,1.333322644,1,0,0,,7,-8.666607161,1.333322644,1,0,0,,0,6,6,6,1,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.148075,,,,,,,,,,,,,,,,,,,,,,,,,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,space,3.377805,3652,100.6666887,-42.00001198,1,0,0,response3disk,,5,1.9735E-05,3.99998939,1,0,0,rectangle,1.9735E-05,3.99998939,1,0,0,7,"[272,115,53,241,263,212,144,266,285,188,279,141,209,142,128,61,319,178,117,288]",1.9735E-05,3.99998939,1,0,0,0,0,0,31,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.18809,,,,,,,,,,,,,,,,,,,,,,,,,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,967,52.00002062,67.33330427,1,0,0,response1disk,,7,8.000019312,-3.333344162,1,0,0,rectangle,8.000019312,-3.333344162,1,0,0,6,"[272,115,53,241,263,212,144,266,285,188,279,141,209,142,128,61,319,178,117,288]",8.000019312,-3.333344162,1,0,0,0,1,1,65,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5416,,,,,,,,,,,,,,,,,,,,,,,,,604dedd2805fe682c5bc51c0,60a7d7fc9c148a64ce779f23,2021-05-21_17h56.54.483,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,942,80.66668814,-28.00001156,1,0,0,response3disk,,5,-21.99998158,6.666656137,1,0,0,rectangle,-21.99998158,6.666656137,1,0,0,5,"[272,115,53,241,263,212,144,266,285,188,279,141,209,142,128,61,319,178,117,288]",-21.99998158,6.666656137,1,0,0,0,2,2,78,1,,,
