key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,mouse_11.clicked_name
space,6.591275,space,23.821995,space,19.81962,space,14.37432,space,2.493015,space,6.201235,52,PF,-112,39,1,0,0,response7disk_5,1,1.767535,-9,-5,1,0,0,rectangle_8,56,117,1,0,0,response1disk_7,7,-10,-7,1,0,0,rectangle_4,0,0,0,1,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,59,-40,1,0,0,response3disk_5,5,1.77914,-19,-4,1,0,0,rectangle_8,-19,-4,1,0,0,,7,-19,-4,1,0,0,,0,1,1,6,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,42,-66,1,0,0,response3disk_5,4,3.52097,-8,13,1,0,0,rectangle_8,-8,13,1,0,0,,7,-8,13,1,0,0,,0,2,2,4,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,98,40,1,0,0,response1disk_5,6,1.912775,-5,-6,1,0,0,rectangle_8,-5,-6,1,0,0,,7,-5,-6,1,0,0,,0,3,3,2,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,FF,63,100,1,0,0,response1disk_5,7,1.16232,14,3,1,0,0,rectangle_8,61,125,1,0,0,response1disk_7,7,11,-4,1,0,0,rectangle_4,0,4,4,0,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,FF,-95,-41,1,0,0,response5disk_5,7,1.79998,-29,-11,1,0,0,rectangle_8,-29,-11,1,0,0,,7,-29,-11,1,0,0,,0,5,5,3,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,-107,56,1,0,0,response7disk_5,1,2.64989,-6,4,1,0,0,rectangle_8,-6,4,1,0,0,,7,-6,4,1,0,0,,0,6,6,5,1,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.95021,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,space,2.70785,1130,106,-36,1,0,0,response3disk,,5,-2,-9,1,0,0,rectangle,-2,-9,1,0,0,5,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-2,-9,1,0,0,0,0,0,56,1,,,
,,,,,,,,,,,,,FF,,,,,,,,2.78323,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1629,86,44,1,0,0,response1disk,,6,8,-5,1,0,0,rectangle,8,-5,1,0,0,5,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",8,-5,1,0,0,0,1,1,80,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.433315,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1436,-48,-78,1,0,0,response5disk,,3,1,-6,1,0,0,rectangle,1,-6,1,0,0,7,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",1,-6,1,0,0,0,2,2,78,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.18325,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1373,-106,51,1,0,0,response7disk,,1,0,-9,1,0,0,rectangle,0,-9,1,0,0,5,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",0,-9,1,0,0,0,3,3,84,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.500045,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1993,88,-54,1,0,0,response3disk,,5,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,5,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-1,-1,1,0,0,0,4,4,15,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.300105,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1208,-48,-82,1,0,0,response5disk,,3,8,-17,1,0,0,rectangle,8,-17,1,0,0,7,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",8,-17,1,0,0,0,5,5,129,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.48351,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3970,-62,104,1,0,0,response7disk,,0,-9,6,1,0,0,rectangle,-9,6,1,0,0,4,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-9,6,1,0,0,0,6,6,32,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.366625,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2690,106,-59,1,0,0,response3disk,,5,-6,-13,1,0,0,rectangle,-6,-13,1,0,0,3,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-6,-13,1,0,0,0,7,7,14,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.650125,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1011,55,-100,1,0,0,response3disk,,4,12,11,1,0,0,rectangle,12,11,1,0,0,7,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",12,11,1,0,0,0,8,8,88,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.48302,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,567,54,-92,1,0,0,response3disk,,4,-8,16,1,0,0,rectangle,-8,16,1,0,0,7,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-8,16,1,0,0,0,9,9,126,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.93354,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2298,-93,-38,1,0,0,response5disk,,4,13,-13,1,0,0,rectangle,13,-13,1,0,0,2,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",13,-13,1,0,0,0,10,10,62,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.04972,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,1723,56,103,1,0,0,response1disk,,7,-5,12,1,0,0,rectangle,-5,12,1,0,0,0,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-5,12,1,0,0,0,11,11,36,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.516655,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2082,55,88,1,0,0,response1disk,,7,9,-14,1,0,0,rectangle,9,-14,1,0,0,0,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",9,-14,1,0,0,0,12,12,113,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7166,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,112,99,47,1,0,0,response1disk,,6,-3,-9,1,0,0,rectangle,-3,-9,1,0,0,1,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-3,-9,1,0,0,0,13,13,64,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.333225,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,676,40,-82,1,0,0,response3disk,,4,-4,-8,1,0,0,rectangle,-4,-8,1,0,0,2,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-4,-8,1,0,0,0,14,14,140,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.383175,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,4355,-61,-35,1,0,0,response5disk,,4,-5,-1,1,0,0,rectangle,-5,-1,1,0,0,0,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-5,-1,1,0,0,0,15,15,43,1,,,
,,,,,,,,,,,,,FF,,,,,,,,0.90019,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,62,80,-42,1,0,0,response3disk,,5,3,-6,1,0,0,rectangle,3,-6,1,0,0,5,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",3,-6,1,0,0,0,16,16,138,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.01648,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3252,-96,44,1,0,0,response7disk,,1,15,5,1,0,0,rectangle,57,-96,1,0,0,4,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",3,-8,1,0,0,0,17,17,102,1,,response3disk_3,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.88298,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,167,-89,-28,1,0,0,response5disk,,4,-8,2,1,0,0,rectangle,-8,2,1,0,0,1,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-8,2,1,0,0,0,18,18,149,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.466495,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,2559,-49,-81,1,0,0,response5disk,,3,10,3,1,0,0,rectangle,10,3,1,0,0,4,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",10,3,1,0,0,0,19,19,106,1,,,
,,,,,,,,,,,,,FF,,,,,,,,1.34965,,,,,,,,,,,,,,,,,,,,,,,,,6093db807d15df55e6990a28,60a7d7fab29dd492543b156e,2021-05-21_17h56.41.412,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,60a5f9bf14d0aa2821c4bb84,,,3783,-104,-33,1,0,0,response5disk,,3,-6,-3,1,0,0,rectangle,-6,-3,1,0,0,2,"[144,297,48,70,144,97,300,189,261,180,63,96,261,86,18,232,266,275,28,166]",-6,-3,1,0,0,0,20,20,89,1,,,
